iter	Passed	Remaining
802	1711	419
803	1713	417
804	1715	415
805	1717	413
806	1719	411
807	1721	408
808	1722	406
809	1724	404
810	1726	402
811	1728	400
812	1730	397
813	1732	395
814	1733	393
815	1735	391
816	1737	389
817	1738	386
818	1740	384
819	1742	382
820	1743	380
821	1745	378
822	1747	375
823	1749	373
824	1750	371
825	1752	369
826	1754	366
827	1755	364
828	1757	362
829	1759	360
830	1761	358
831	1763	356
832	1764	353
833	1766	351
834	1768	349
835	1769	347
836	1771	345
837	1773	342
838	1775	340
839	1777	338
840	1779	336
841	1781	334
842	1783	332
843	1785	330
844	1787	327
845	1789	325
846	1790	323
847	1792	321
848	1794	319
849	1796	317
850	1798	314
851	1800	312
852	1802	310
853	1803	308
854	1805	306
855	1807	304
856	1809	301
857	1810	299
858	1812	297
859	1814	295
860	1816	293
861	1817	291
862	1819	288
863	1821	286
864	1823	284
865	1824	282
866	1826	280
867	1828	278
868	1829	275
869	1831	273
870	1833	271
871	1835	269
872	1837	267
873	1839	265
874	1840	262
875	1842	260
876	1844	258
877	1845	256
878	1847	254
879	1849	252
880	1851	250
881	1852	247
882	1854	245
883	1856	243
884	1858	241
885	1860	239
886	1861	237
887	1863	235
888	1865	232
889	1867	230
890	1869	228
891	1871	226
892	1873	224
893	1875	222
894	1876	220
895	1878	218
896	1880	215
897	1882	213
898	1883	211
899	1885	209
900	1887	207
901	1889	205
902	1891	203
903	1893	201
904	1895	198
905	1897	196
906	1899	194
907	1900	192
908	1902	190
909	1904	188
910	1906	186
911	1907	184
912	1909	181
913	1911	179
914	1912	177
915	1914	175
916	1915	173
917	1917	171
918	1919	169
919	1920	167
920	1922	164
921	1923	162
922	1925	160
923	1927	158
924	1929	156
925	1930	154
926	1932	152
927	1933	150
928	1935	147
929	1937	145
930	1939	143
931	1940	141
932	1942	139
933	1944	137
934	1945	135
935	1947	133
936	1949	131
937	1950	128
938	1952	126
939	1953	124
940	1955	122
941	1957	120
942	1958	118
943	1960	116
944	1962	114
945	1963	112
946	1964	109
947	1966	107
948	1967	105
949	1968	103
950	1970	101
951	1972	99
952	1973	97
953	1975	95
954	1976	93
955	1978	91
956	1980	88
957	1982	86
958	1984	84
959	1985	82
960	1987	80
961	1988	78
962	1990	76
963	1992	74
964	1993	72
965	1995	70
966	1996	68
967	1998	66
968	2000	63
969	2001	61
970	2003	59
971	2005	57
972	2006	55
973	2008	53
974	2010	51
975	2012	49
976	2013	47
977	2015	45
978	2017	43
979	2019	41
980	2020	39
981	2022	37
982	2023	35
983	2025	32
984	2027	30
985	2029	28
986	2031	26
987	2032	24
988	2034	22
989	2036	20
990	2038	18
991	2039	16
992	2041	14
993	2043	12
994	2044	10
995	2046	8
996	2047	6
997	2049	4
998	2050	2
999	2052	0
